Wall time,Step,Value
1550949281.763143,11759,-1.8735880851745605
1550949285.418202,11786,-2.092207908630371
1550949287.4301093,11801,-2.244688034057617
1550949291.603514,11831,-4.782495975494385
1550949297.2036526,11873,0.0
1550949305.4498663,11933,-1.3383677005767822
1550949307.1372812,11946,-1.3452588319778442
1550949307.4955325,11948,-2.4302077293395996
1550949310.3446863,11969,-0.2631385326385498
1550949310.9854448,11974,-1.3999309539794922
1550949312.9664016,11988,-1.5406068563461304
1550949314.2107594,11998,-0.5765091180801392
1550949315.2262757,12003,-1.1954269409179688
1550949316.0479343,12010,-1.105747103691101
1550949318.6819358,12029,-0.33621644973754883
1550949320.3052735,12041,-1.7687922716140747
1550949333.5421393,12138,-0.11525241285562515
1550949335.6217546,12153,-1.0114120244979858
1550949337.1142664,12164,-0.8700292110443115
1550949337.6235518,12168,-0.9273161888122559
1550949339.8079054,12184,-3.911637544631958
1550949344.2550313,12217,-1.9824585914611816
1550949345.4311574,12226,-1.2012405395507812
1550949354.0673358,12290,-0.4551500082015991
1550949354.5139272,12293,-1.2819124460220337
1550949356.662083,12309,-1.0383411645889282
1550949368.3066022,12396,-2.764207363128662
1550949369.4733467,12405,-3.0868911743164062
1550949373.7697558,12436,-0.8671844005584717
1550949376.6576917,12458,-0.7422195076942444
1550949379.8181431,12480,-0.800000011920929
1550949388.6791325,12545,-1.4242448806762695
1550949389.7623253,12553,-0.25404199957847595
1550949395.707028,12596,-1.1674392223358154
1550949399.6888428,12625,-0.33135369420051575
1550949406.1362743,12671,-1.0984770059585571
1550949410.1109493,12699,-0.5192967653274536
1550949418.0972838,12758,-1.4946974515914917
1550949420.183396,12774,-4.106632709503174
1550949424.4436727,12805,-3.5579426288604736
1550949428.426393,12834,-0.7375077605247498
1550949432.2877333,12859,-1.1293632984161377
1550949432.9495854,12864,-1.2978460788726807
1550949434.9513674,12877,-1.171301245689392
1550949438.0006142,12896,-0.8433434367179871
1550949443.88696,12939,-3.7099127769470215
1550949446.6819127,12959,-0.04593583196401596
1550949454.6885986,13017,-0.9082226753234863
1550949457.0656404,13034,-0.8494687676429749
1550949461.083998,13061,-1.363130807876587
1550949461.1789339,13062,-1.223274827003479
1550949462.3221755,13070,-1.6652028560638428
1550949464.0082302,13082,-1.189423680305481
1550949465.6563177,13094,-3.3803725242614746
1550949467.7746549,13109,-2.702498435974121
1550949468.3110695,13113,-1.8307383060455322
1550949470.6419642,13130,-1.0102614164352417
1550949475.6337228,13166,-0.7852108478546143
1550949477.7741992,13181,-0.9762344360351562
1550949479.2992668,13191,-3.1802682876586914
1550949479.5565996,13194,-1.8768900632858276
1550949481.2573884,13206,-1.2130622863769531
1550949481.5355585,13207,-2.484724283218384
1550949482.0971231,13211,-3.3003618717193604
1550949486.0012882,13239,-1.1850194931030273
1550949496.4778898,13313,-0.3800068795681
1550949501.587376,13349,-0.263234406709671
1550949509.0485604,13402,-0.6708316802978516
1550949509.6216784,13406,-1.4083428382873535
1550949512.479027,13426,-1.338487148284912
1550949519.536595,13475,-1.7082325220108032
1550949523.5633314,13504,-1.3335808515548706
1550949529.5079672,13546,-1.1350146532058716
1550949536.8398256,13597,-2.1511762142181396
1550949539.020128,13612,-1.69550359249115
1550949540.156386,13620,-2.4098801612854004
1550949540.8931315,13626,-2.213651180267334
1550949548.5227444,13679,-0.7542028427124023
1550949548.7997086,13682,-1.7132391929626465
1550949550.7671685,13695,-0.5146750807762146
1550949554.4240353,13722,-0.8147345185279846
1550949558.174206,13747,-0.6559771299362183
1550949559.0467432,13754,-0.6372353434562683
1550949562.3818305,13776,-1.600000023841858
1550949567.3624158,13810,0.0
1550949572.5292969,13845,-0.6389157772064209
1550949576.0814297,13868,-1.0040324926376343
1550949578.459893,13884,-0.7902082800865173
1550949585.8979955,13937,-2.9660484790802
1550949588.5979602,13957,-1.663978099822998
1550949589.039087,13960,-0.5110188722610474
1550949590.223259,13969,-1.0381816625595093
1550949590.2935913,13970,0.0
1550949591.1877613,13976,-0.8525969982147217
1550949593.9499524,13996,-2.470097541809082
1550949594.1414576,13998,-1.9519479274749756
1550949606.3908648,14080,-1.140363097190857
1550949618.4327004,14161,-0.06222612410783768
1550949626.9505982,14221,-1.4814553260803223
1550949627.903048,14227,-0.557299017906189
1550949630.9545243,14250,-2.5786871910095215
1550949636.6657214,14287,-1.817723035812378
1550949636.7609134,14288,-1.083676815032959
1550949637.610821,14294,-0.6456106901168823
1550949639.2501261,14303,-1.7523812055587769
1550949641.7813377,14320,-2.979175329208374
1550949643.5968266,14332,-1.4606174230575562
1550949644.3543732,14338,-1.8673560619354248
1550949653.0872986,14397,-1.770963430404663
1550949660.323349,14447,-2.750859260559082
1550949666.7639868,14494,-2.299480438232422
1550949672.0244093,14530,-1.6326886415481567
1550949675.4381282,14554,-0.09783656150102615
1550949675.877284,14557,-2.147340774536133
1550949686.6282496,14632,-2.0415148735046387
1550949687.4554617,14638,-1.926275372505188
1550949692.0204704,14668,-2.174830198287964
1550949693.3032448,14677,-0.6878302097320557
1550949693.8772311,14681,-0.800000011920929
1550949694.8640184,14687,-0.6007954478263855
1550949703.5887454,14746,-1.9531095027923584
1550949708.4013486,14779,0.0
1550949708.4956121,14780,-0.4000000059604645
1550949709.6260955,14788,-0.4000000059604645
1550949710.190082,14792,-1.0438282489776611
1550949712.5001442,14809,-0.837724506855011
1550949713.4629781,14815,-1.163550615310669
1550949717.5997941,14846,-0.5181679129600525
1550949721.5935318,14873,-1.7359868288040161
1550949724.3263867,14892,-1.319557547569275
1550949728.792865,14925,-0.6315920948982239
1550949728.8855999,14926,-1.1013555526733398
1550949732.2549536,14950,-1.3193036317825317
1550949743.4099503,15027,-0.960860550403595
1550949752.4839523,15090,-1.4402668476104736
1550949759.078853,15132,-2.0519859790802
1550949759.761551,15136,-0.40112048387527466
1550949766.0978556,15180,-0.8794975280761719
1550949768.882881,15199,-4.1590776443481445
1550949774.2090487,15236,-1.1764590740203857
1550949778.7425423,15266,-2.046725034713745
1550949779.8116288,15273,0.0
1550949787.079572,15324,-1.9544143676757812
1550949789.3653977,15341,-2.0052595138549805
1550949790.27674,15347,-0.5994051694869995
1550949800.811304,15422,-0.4000000059604645
1550949801.7779064,15428,-0.7580909729003906
1550949806.2207131,15456,-0.9754722714424133
1550949808.7892206,15473,-1.318105697631836
1550949809.2313793,15475,-0.6291022896766663
1550949813.939299,15507,-1.4527568817138672
1550949818.14941,15538,-2.0778839588165283
1550949826.4221685,15597,-0.7066347002983093
1550949827.999969,15608,-0.107973113656044
1550949847.5370283,15740,-2.488807201385498
1550949850.9739428,15764,-0.06797242909669876
1550949852.2251577,15773,-1.4823651313781738
1550949853.185961,15779,-2.3823912143707275
1550949859.6014552,15825,-1.111166000366211
1550949860.0710309,15828,-0.5980443358421326
1550949862.952117,15847,-0.6668386459350586
1550949865.679392,15866,-0.7149174213409424
1550949882.311901,15979,-1.737545371055603
1550949883.540941,15987,-1.8645638227462769
1550949884.3487456,15993,-1.1185734272003174
1550949894.1796925,16056,-1.4450169801712036
1550949899.9224021,16095,-0.4835960865020752
1550949903.084927,16116,-1.112818956375122
1550949911.693287,16175,-1.1937557458877563
1550949913.43788,16188,-1.037205457687378
1550949914.745142,16198,-1.0874505043029785
1550949915.3206198,16202,-1.621039628982544
1550949922.2010698,16249,-0.9609185457229614
1550949932.4519563,16321,-1.0369929075241089
