ep 21600: mean -0.8910775341838408, std 0.7160819306679271
ep 21700: mean -0.1518188520010335, std 0.23868273151109554
ep 21800: mean -0.04727804764930465, std 0.04205265867013232
ep 21900: mean -0.15799733644746575, std 0.2098635996356518
ep 22000: mean -0.07686275935358466, std 0.06875741040157038
ep 22100: mean -0.2190497966973085, std 0.24881956747964545
ep 22200: mean -0.37201769376346205, std 0.3847985232366446
ep 22300: mean -0.10939995787374926, std 0.1564188550593981
ep 22400: mean -0.30638663675398303, std 0.19704841087295066
ep 22500: mean -0.8451273499389137, std 0.7509184840331068
ep 22600: mean -0.9786805086706913, std 0.7208353478304901
ep 22700: mean -0.5549262829727786, std 0.42446097362734553
ep 22800: mean -0.04596300009723782, std 0.04596458173781153
ep 22900: mean -0.5057066290366059, std 0.5571967586538723
ep 23000: mean -0.5536887336151772, std 0.5482489876822875
ep 23100: mean -0.07401545820967227, std 0.04251654653702925
ep 23200: mean -0.2522922163048469, std 0.113437036847909
ep 23300: mean -1.0059782912026665, std 0.9101034533569703
ep 23400: mean -0.9904650622037203, std 0.40233400980991796
ep 23500: mean -0.16304333681310798, std 0.10356586637079324
ep 23600: mean -0.3038940575745481, std 0.2858206582165311
ep 23700: mean -0.2603152238593588, std 0.22522108029130455
ep 23800: mean -0.047492698313943385, std 0.07183293835576433
ep 23900: mean -0.5821246592361115, std 0.551334055350625
ep 24000: mean -0.012836733602368882, std 0.02573451954507098
ep 24100: mean -0.18349769642991517, std 0.04632795496236267
ep 24200: mean -0.08717755281866663, std 0.010235197231525878
ep 24300: mean -0.10363359391485362, std 0.1544467619130085
ep 24400: mean -0.37844945704460614, std 0.3491747069188459
ep 24500: mean -0.5657047183934965, std 0.5167488534852136
ep 24600: mean -1.9508683587080475, std 0.509791947561895
ep 24700: mean -1.462898751515561, std 0.8100535373545776
ep 24800: mean -0.16876983977416754, std 0.16887259103119814
ep 24900: mean -0.3860584540984182, std 0.1618644522149792
